Name,Born,Died,Nationality,Institutions,Alma mater,Notable awards,Fields,Total Count,Recursion,Score,Nobel Laureate
Roger Y. Tsien,1952,NA,United States,University of California San Diego_University of California Berkeley,Harvard University_University of Cambridge,E. B. Wilson Medal_Rosenstiel Award_Wolf Prize in Medicine_Keio Medical Science Prize_Dr A.H. Heineken Prize_Artois-Baillet Latour Health Prize_Gairdner Foundation International Award,Biochemistry,41722,532715,385417.1,Yes
Robert H. Grubbs,1942,NA,United States,California Institute of Technology,University of Florida_Columbia University,Tolman Award_Linus Pauling Award,Organic chemistry,18557,158664,116631.9,Yes
Hermann Emil Fischer,1852,1919,Germany,University of Munich_University of Erlangen_University of Wurzburg_University of Berlin,University of Bonn_University of Strasbourg,Davy Medal,Chemistry,843,10053,7290,Yes
Friedrich Bergius,1884,1949,Germany,University of Hanover,University of Breslau_University of Leipzig,NONE,Chemistry,253,5995,4272.4,Yes
Jean-Marie Lehn,1939,NA,France,Havard University_Coll??ge de France,University of Strabourg_University of Toronto Mississauga,Davy Medal,Supramolecular chemistry,13796,138421,101033.5,Yes
Richard Kuhn,1900,1967,Germany_Austria,University of Heidelberg_ETH Zurich,University of Munich,Goethe Prize,Chemistry,3662,37169,27116.9,Yes
Robert Bruce Merrifield,1921,2006,United States,Rockefeller University,UCLA,Gairdner Foundation International Award,Biochemistry,591,11221,8032,Yes
Richard Willst??tter,1872,1942,Germany,University of Munich_ETH Zurich_University of Berlin_Kaiser Wilhelm Institute,University of Munich,NONE,Physical chemistry,1160,37597,26665.9,Yes
Kary Mullis,1944,NA,United States,University of California San Francisco,Georgia Institute of Technology_University of California Berkeley,William Allan Award_Robert Koch Prize_Japan Prize,Molecular biology,44192,787413,564446.7,Yes
Gerhard Herzberg,1904,1999,Germany,Carleton University,University of Saskatchewan,Henry Marshall Tory Medal_Royal Medal,Physical chemistry,51435,265463,201254.6,Yes
George Andrew Olah,1927,NA,Hungary,Case Western Reserve University_University of South California,Budapest University of Technology and Economics,ACS Henry Morley Medal_California Scientist of the Year_Tolman Award,Chemistry,3138,28171,20661.1,Yes
Kurt Alder,1902,1958,Germany,I G Farben Industrie_University of Cologne,University of Berlin_University of Kiel,NONE,Organic chemistry,4109,44274,32224.5,Yes
Tadeus Reichstein,1897,1996,Poland,University of Basel,ETH Zurich,Marcel Benoist Prize,Chemistry,583,6138,4471.5,Yes
Walter Haworth,1883,1950,United Kingdom,University of St. Andrews_Durham University_University of Birmingham,University of Manchester_University of Gottingen,Davy Medal,Organic chemistry,550,14685,10444.5,Yes
Henry Gwyn Jeffreys Moseley,1887,1915,United Kingdom,University of Manchester,University of Oxford_University of Manchester,Matteucci Medal,Physics_Chemistry,236,6172,4391.2,Yes
Stanley Miller,1930,2007,United States,University of Chicago_Columbia University_University of California San Diego,University of California at Berkeley,Oparin Medal,Chemistry,7039,108826,78289.9,No
Francis William Aston,1877,1945,United Kingdom,University of Cambridge,University of Birmingham_University of Cambridge,Hughes Medal,Chemistry_Physics,2446,26601,19354.5,Yes
Alan MacDiarmid,1927,2007,United States,University of Pennsylvania_University of St. Andrews_University of Texas at Dallas,Victoria University of Wellington_University of Cambridge_University of Wisconsin Madison,The Francis J. Clamer Medal,Chemistry,14562,103024,76485.4,Yes
Gilbert Newton Lewis,1875,1946,United States,University of California Berkeley,Harvard University_MIT,Fellow of the Royal Society_Willard Gibbs Award_Davy Medal,Physical chemist,1790,68213,48286.1,No
Roald Hoffmann,1937,NA,United States,Cornell University,Columbia University_Harvard University,NONE,Chemistry,16505,124038,91778.1,Yes
Adolf Otto Reinhold Windaus,1876,1959,Germany,University of Innsbruck_University of Gottingen,Huboldt University of Berlin,NONE,Organic chemistry_Biochemistry,19,190,138.7,Yes
Paul Lauterbur,1929,2007,United States,State University of New York at Stony Brook_University of Illinois at Urbana-Champaign_Carnegie Mellon University,Case Western Reserve University_University of Pittsburgh,Kyoto Prize_Bower Award_IEEE Medal of Honor_National Medal of Science_Harvey Prize_Potts Medal,Chemistry,6477,62683,45821.2,Yes
Christopher Kelk Ingold,1893,1970,United Kingdom,Imperial College London_University of Leeds_University College London,Imperial College London,Davy Medal_Royal Medal_Fellow of the Royal Society,Chemistry,0,0,0,No
Svante Arrhenius,1859,1927,Sweden,Royal Institute of Technology,Uppsala University_Stockholm University,Davy Medal,Physics_Chemistry,4399,74727,53628.6,Yes
Homer Burton Adkins,1892,1949,United States,University of Wisconsin Madison,Denison University_Ohio State University,NONE,Chemistry,6,33,24.9,No
Henry Taube,1915,2005,Canada,Cornell University_University of Chicago_Stanford University,University of California Berkeley,National Medal of Science,Chemistry,4217,55225,39922.6,Yes
Giulio Natta,1903,1979,Italy,Pavia University_University of Rome La Sapienza_Politecnico di Torino,Politecnico di Milano,NONE,Organic chemistry,1688,36137,25802.3,Yes
Fritz Haber,1868,1934,Germany,Swiss Federal Institute of Technology_University of Karlsruhe,Humboldt University of Berlin_Technical University of Berlin_University of Heidelburg,NONE,Physical chemistry,4326,67780,48743.8,Yes
Dorothy Hodgkin,1910,1994,United Kingdom,Universtoy of Oxford,University of Oxford,Royal Medal,Biochemistry,2885,53325,38193,Yes
Paul Josef Crutzen,1933,NA,Netherlands,University of California San Diego_Seoul National University_ Georgia Institute of Technology_Stockholm University,Stockholm University,Tyler Prize for Environmental Achievement_Volvo Environment Prize,Chemistry_Physics,1373,41278,29306.5,Yes
Venkatraman Ramakrishnan,1952,NA,United States_United Kingdom,MRC Laboratory of Molecular Biology_University of Cambridge,Ohio State University_University of California San Diego,Louis-Jeantet Prize for Medicine,Biochemistry and Biophysics,361,7605,5431.8,Yes
Alfred Werner,1866,1919,Switzerland,University of Zurich,University of Zurich_ETH Zurich,NONE,Inorganic chemistry,1704,50766,36047.4,Yes
Vladimir Ipatieff,1867,1952,Russia_United States,Northwestern University,Mikhailovskaya Artillery Academy,Willard Gibbs Award,NONE,218,4149,2969.7,No
Johannes Nicolaus Bronsted,1879,1947,Denmark,University of Copenhagen,University of Copenhagen,NONE,Physical chemistry,472,8503,6093.7,No
Avram Hershko,1937,NA,Israel,Rappaport Faculty of Medicine,Hebrew University of Jerusalem,NONE,Chemistry,12704,125485,91650.7,Yes
Ryoji Noyori,1938,NA,Japan,Harvard University_RIKEN_Nagoya University,Kyoto University,Asahi Prize_Tetrahedron Prize_Arthur CCope Award_Wolf Prize in Chemistry_Lomonosov Gold Medal,Chemistry,8729,88485,64558.2,Yes
Dudley R Herschbach,1932,NA,United States,University of California Berkeley_Harvard University_Freiburg University_Texas A&M University,Harvard University_Stanford University,ACS Award in Pure Chemistry_Linus Pauling Medal_RSC Michael Polanyi Medal_Irving Langmuir Award_National Medal of Science_ASCR Jaroslav Heyrovsky Medal_Sierra Nevada Distinguished Chemist Award_ACS Gennady Michael Kosolapoff Award_AICE William H Walker Award_Council of Scientific Society Presidents Award_American Institute of Chemists Gold Medal,Chemistry,2624,65312,46505.6,Yes
Melvin Calvin,1911,1997,United States,University of Manchester_University of California Berkeley_Berkeley Radiation Laboratory_Science Advisory Committee,Michigan College of Mining and Technology_University of Minnesota,Davy Medal_Priestley Medal_AIC Gold Medal_National Medal of Science,Chemistry_Biology,4907,87628,62811.7,Yes
Hans Fischer,1881,1945,Germany,University of Innsbruck_University of Vienna_Technical University of Munich,University of Lausanne_University of Marburg,Davy Medal,Chemistry,5584,64220,46629.2,Yes
Paul Berg,1926,NA,United States,Stanford University_Washington University in St. Louis,Case Western Reserve University_Pennsylvania State University,AAAS Award for Scientific Freedom and Responsibility_National Medal of Science,Biochemistry,20781,755112,534812.7,Yes
Fritz Pregl,1869,1930,Austria Hungary,Graz University_Innsbruck University,University of Graz,Lieben Prize,Chemistry,1313,11524,8460.7,Yes
Carl Bosch,1874,1940,Germany,BASF_IG Farben,Technical College of Charlottenburg,Goethe Prize,Chemistry,759,9497,6875.6,Yes
Wallace Carothers,1896,1937,United States,University of South Dakota_,University of Illinois,NONE,Organic chemistry,2039,36845,26403.2,No
Alan J. Heeger,1936,NA,United States,University of Pennsylvania_University of California Santa Barbara,University of Nebraska_University of California Berkeley,Balzan Prize_ENI award_Oliver E. Buckley Condensed Matter Prize,Physics_Chemistry,33547,235597,174982,Yes
Thomas Cech,1947,NA,United States,University of Colorado,Grinnell College_University of California Berkeley_MIT,Newcomb Cleveland Prize_NAS Award in Molecular Biology_National Medal of Science_Othmer Gold Medal,NONE,11663,135924,98645.7,Yes
Arthur H. Livermore,1915,2009,United States,American Association for the Advancement of Science,Reed College_University of Rochester,NONE,NONE,748,14542,10403.8,No
Arne Tiselius,1902,1971,Sweden,University of Uppsala,University of Uppsala,Franklin Medal_Fellow of the Royal Society,Chemistry,3400,67879,48535.3,Yes
William Giauque,1895,1982,United States,University of California Berkeley,University of California Berkeley,Elliott Cresson Medal_Willard Gibbs Award,Physical Chemistry,361,9707,6903.2,Yes
Cyril Norman Hinshelwood,1897,1967,United Kingdom,University of Oxford,Balliol College,Davy Medal_Royal Medal_Fellow of the Royal Society,Physical chemistry,1649,36591,26108.4,Yes
Luis E. Miramontes,1925,2004,Mexico,Syntex +G. D. Searle & Company +UNAM +Universidad Iberoamericana +Mexican Institute of Petroleum,UNAM,Mexican National Prize in Chemistry_Top Chemical Engineer of all times,Chemistry,441,4765,3467.8,No
Max Perutz,1914,2002,United Kingdom,University of Cambridge_Laboratory of Molecular Biology,University of Vienna_Peterhouse_Cambridge,Royal Medal_Copley Medal,Molecular Biology_Crystallography,5705,112628,80551.1,Yes
Luis Federico Leloir,1906,1987,Argentina,University of Buenos Aires_Washington University in St. Louis_Columbia University_Fundaci\xc3\xb3n Instituto Campomar_University of Cambridge,University of Buenos Aires,Louisa Gross Horwitz Prize_Legion of Honour,Biochemistry,376,10454,7430.6,Yes
Herbert A. Hauptman,1917,2011,United States,Hauptman-Woodward Medical Research Institute & University at Buffalo,University of Maryland College Park,Dirac Medal,Mathematician,1106,80355,56580.3,Yes
Willard Libby,1908,1980,United States,Columbia University_University of Chicago_University of California Los Angeles,University of California Berkeley,Elliott Cresson Medal_Willard Gibbs Award_Albert Einstein Award,Radioactivity,1652,43817,31167.5,Yes
Eduard Buchner,1860,1917,Germany,University of Kiel_University of Tubingen_University of Berlin_University of Breslau,University of Munich,NONE,Biochemistry,2745,41329,29753.8,Yes
Earl Muetterties,1927,1984,United States,DuPont Central Research_Cornell University_University of California Berkeley,Northwestern University_Harvard,Senior U.S. Scientist Award of the Humboldt Foundation_ACS Award in Inorganic Chemistry_Royal Society of Chemistry Centenary Lectureship_National Academy of Sciences,Inorganic Chemistry,1830,27731,19960.7,No
Otto Diels,1876,1954,Germany,University of Kiel,University of Berlin,NONE,Chemistry,1410,19007,13727.9,Yes
Alexander R. Todd,1907,1997,United Kingdom,Lister Institute_University of Edinburgh_University of London_University of Manchester_University of Cambridge_Christs College_Cambridge_University of Strathclyde_Hatfield Polytechnic,University of Glasgow_University of Frankfurt am Main_University of Oxford,Davy Medal_Royal Medal_Paul Karrer Gold Medal_Copley Medal_Lomonosov Gold Medal,Chemistry_Biochemistry,6476,36387,27413.7,Yes
Kazimierz Fajans,1887,1975,United States,Technical University of Karlsruche_Munich University_University of Michigan,University of Leipzig_University of Heidelberg_University of Zurich,NONE,NONE,41,2576,1815.5,No
Tony Orchard,1941,2005,United Kingdom,University College_Oxford,Wadham College_Oxford_Merton College_Oxford,NONE,Inorganic Chemistry,2967,16060,12132.1,No
Kurt Wuthrich,1938,NA,Switzerland,ETH Zurich_Scripps Institute,University of Bern_University of Basel,Kyoto Prize_Marcel Benoist Prize_Louisa Gross Horwitz Prize,Chemistry_Physics_Mathematics,6201,91444,65871.1,Yes
Robert S. Mulliken,1896,1986,United States,American University_New York University_University of Chicago,MIT_University of Chicago,Peter Debye Award_Priestley Medal,Chemistry_Physics,15643,160785,117242.4,Yes
Christian B. Anfinsen,1916,1995,United States,Harvard University_Johns Hopkins University,Swarthmore College_University of Pennsylvania_Harvard University,NONE,Biochemistry,11935,174763,125914.6,Yes
Robert Havemann,1910,1982,East Germany,Humboldt University,Kaiser Wilhelm Institute,NONE,Chemistry,1149,10178,7469.3,No
William Lipscomb,1919,2011,United States,University of Minnesota_Harvard University,University of Kentucky_California Institute of Technology,Peter Debye Award,NONE,5617,97760,70117.1,Yes
Jerome Karle,1918,2013,United States,University of Chicago_University of Michigan,City College of New York_Harvard University_University of Michigan,NONE,Physical chemistry,1508,38242,27221.8,Yes
Odd Hassel,1897,1981,Norway,University of Oslo,University of Oslo,NONE,Physical chemistry,630,15719,11192.3,Yes
Martin Lowry,1874,1936,United Kingdom,University of London_University of Cambridge,Central Technical College,Fellow of the Royal Society,Physical chemistry,1443,38059,27074.2,No
John Bennett Fenn,1917,2010,United States,Princeton University_Yale University_Virginia Commonwealth University,Berea College_Yale University,NONE,Chemistry,101,981,717,Yes
Artturi Ilmari Virtanen,1895,1973,Finland,Helsinki University of Technology_University of Helsinki,University of Helsinki,NONE,Chemistry,315,13414,9484.3,Yes
Emil Abderhalden,1877,1950,Switzerland,German Academy of Natural Scientists Leopoldina_Univeristy of Halle_University of Berlin,University of Basel,NONE,NONE,959,25680,18263.7,No
Adrien Albert,1907,1989,Austrailia,Wellcome Research Institute_Austrailian National University,University of Sydney_University of London,NONE,NONE,4437,35834,26414.9,No
John Albery,1936,2013,United Kingdom,University of Oxford_Imperial College London,University of Oxford,NONE,NONE,3079,66832,47706.1,No
Anton Eduard van Arkel,1893,1976,Netherlands,NONE,NONE,NONE,NONE,117,4720,3339.1,No
Werner Emmanuel Bachmann,1901,1951,United States,University of Michigan,University of Michigan,NONE,Chemistry,591,6245,4548.8,No
Hendrik Willem Bakhuis Roozeboom,1854,1907,Netherlands,University of Amsterdam,University of Leiden,NONE,NONE,141,16017,11254.2,No
Sir Derek Barton,1918,1998,United Kingdom,Imperial College of London_Institut de Chimie des Substances Naturelles_Texas A&M University_Birbeck_University of London,Imperical College of London,Royal Medal_Copley Medal_Priestley Medal,Chemistry,3878,35193,25798.5,Yes
