Name, Year, WikiLink
John Lennard-Jones,1894, /wiki/John_Lennard-Jones
Martin Lewis Perl,1927, /wiki/Martin_Lewis_Perl
Robert von Lieben,1878, /wiki/Robert_von_Lieben
Alfred-Marie Li%C3%A9nard,1869, /wiki/Alfred-Marie_Li%C3%A9nard
David Lindley (physicist),1956, /wiki/David_Lindley_(physicist)
Chris Lintott,1980, /wiki/Chris_Lintott
Antony Garrett Lisi,1968, /wiki/Antony_Garrett_Lisi
Robert K. Logan,1939, /wiki/Robert_K._Logan
Ram%C3%B3n E. L%C3%B3pez,1959, /wiki/Ram%C3%B3n_E._L%C3%B3pez
Per-Olov L%C3%B6wdin,1916, /wiki/Per-Olov_L%C3%B6wdin
Joseph Lykken,1957, /wiki/Joseph_Lykken
Aleksandr Mikhailovich Lyapunov,1857, /wiki/Aleksandr_Mikhailovich_Lyapunov
Luciano Maiani,1941, /wiki/Luciano_Maiani
Theodore Maiman,1927, /wiki/Theodore_Maiman
Juan Mart%C3%ADn Maldacena,1968, /wiki/Juan_Mart%C3%ADn_Maldacena
Leonid Isaakovich Mandelshtam,1879, /wiki/Leonid_Isaakovich_Mandelshtam
Peter Mansfield,1933, /wiki/Peter_Mansfield
Toshihide Maskawa,1940, /wiki/Toshihide_Maskawa
John C. Mather,1946, /wiki/John_C._Mather
Brian May,1947, /wiki/Brian_May
Maria Goeppert Mayer,1906, /wiki/Maria_Goeppert_Mayer
Ronald E. McNair,1950, /wiki/Ronald_E._McNair
Fulvio Melia,1956, /wiki/Fulvio_Melia
Adrian Melott,1947, /wiki/Adrian_Melott
Mambillikalathil Govind Kumar Menon,1928, /wiki/Mambillikalathil_Govind_Kumar_Menon
Albert Abraham Michelson,1852, /wiki/Albert_Abraham_Michelson
Robert Millikan,1868, /wiki/Robert_Millikan
Arthur Milne,1896, /wiki/Arthur_Milne
John J. Montgomery,1858, /wiki/John_J._Montgomery
Jagadeesh Moodera,1950, /wiki/Jagadeesh_Moodera
Nevill Mott,1905, /wiki/Nevill_Mott
Ben Roy Mottelson,1926, /wiki/Ben_Roy_Mottelson
Moustafa Mosharafa,1898, /wiki/Moustafa_Mosharafa
Karl Alexander M%C3%BCller,1927, /wiki/Karl_Alexander_M%C3%BCller
Richard A. Muller,1944, /wiki/Richard_A._Muller
Abhas Mitra,1955, /wiki/Abhas_Mitra
Yoichiro Nambu,1921, /wiki/Yoichiro_Nambu
Jayant Narlikar,1938, /wiki/Jayant_Narlikar
Ann Nelson,1958, /wiki/Ann_Nelson
John von Neumann,1903, /wiki/John_von_Neumann
Holger Bech Nielsen,1941, /wiki/Holger_Bech_Nielsen
Lothar Nordheim,1899, /wiki/Lothar_Nordheim
H. Pierre Noyes,1923, /wiki/H._Pierre_Noyes
Konstantin Novoselov,1974, /wiki/Konstantin_Novoselov
David Olive,1937, /wiki/David_Olive
Robert Oppenheimer,1904, /wiki/Robert_Oppenheimer
Leonard Salomon Ornstein,1880, /wiki/Leonard_Salomon_Ornstein
Egon Orowan,1901, /wiki/Egon_Orowan
Yuri Feodorovich Orlov,1924, /wiki/Yuri_Feodorovich_Orlov
Douglas D. Osheroff,1945, /wiki/Douglas_D._Osheroff
Thanu Padmanabhan,1957, /wiki/Thanu_Padmanabhan
Jogesh Pati,1937, /wiki/Jogesh_Pati
Wolfgang Pauli,1900, /wiki/Wolfgang_Pauli
Roger Penrose,1931, /wiki/Roger_Penrose
Arno Allan Penzias,1933, /wiki/Arno_Allan_Penzias
Martin Lewis Perl,1927, /wiki/Martin_Lewis_Perl
Saul Perlmutter,1959, /wiki/Saul_Perlmutter
Konstantin Petrzhak,1907, /wiki/Konstantin_Petrzhak
William Daniel Phillips,1948, /wiki/William_Daniel_Phillips
Ward Plummer,1940, /wiki/Ward_Plummer
Joseph Polchinski,1954, /wiki/Joseph_Polchinski
Hugh David Politzer,1949, /wiki/Hugh_David_Politzer
John Polkinghorne,1930, /wiki/John_Polkinghorne
Alexander M. Polyakov,1945, /wiki/Alexander_M._Polyakov
Cecil Frank Powell,1903, /wiki/Cecil_Frank_Powell
Mihajlo Idvorski Pupin,1858, /wiki/Mihajlo_Idvorski_Pupin
Boris Podolsky,1896, /wiki/Boris_Podolsky
Helen Quinn,1943, /wiki/Helen_Quinn
Mark G. Raizen,1955, /wiki/Mark_G._Raizen
Chandrasekhara Venkata Raman,1888, /wiki/Chandrasekhara_Venkata_Raman
Lisa Randall,1962, /wiki/Lisa_Randall
Sidney Redner,1951, /wiki/Sidney_Redner
Martin Rees,1942, /wiki/Martin_Rees
Hubert Reeves,1932, /wiki/Hubert_Reeves
Tullio Regge,1931, /wiki/Tullio_Regge
Robert Coleman Richardson,1937, /wiki/Robert_Coleman_Richardson
Burton Richter,1931, /wiki/Burton_Richter
Adam Riess,1969, /wiki/Adam_Riess
Walter Ritz,1878, /wiki/Walter_Ritz
Heinrich Rohrer,1933, /wiki/Heinrich_Rohrer
Joseph Romm,1960, /wiki/Joseph_Romm
Clemens C. J. Roothaan,1918, /wiki/Clemens_C._J._Roothaan
Carl-Gustav Arvid Rossby,1898, /wiki/Carl-Gustav_Arvid_Rossby
Carlo Rovelli,1956, /wiki/Carlo_Rovelli
