Name, Year, WikiLink
George Emil Palade, 1912, /wiki/George_Emil_Palade
Paul Maurice Pallary, 1869, /wiki/Paul_Maurice_Pallary
Daniel Pauly, 1946, /wiki/Daniel_Pauly
Donald C. Peattie, 1898, /wiki/Donald_C._Peattie
Eva J. Pell, 1948, /wiki/Eva_J._Pell
Paul Pelseneer, 1863, /wiki/Paul_Pelseneer
Jean-Marie Pelt, 1933, /wiki/Jean-Marie_Pelt
Henri Perrier de la B%C3%A2thie, 1873, /wiki/Henri_Perrier_de_la_B%C3%A2thie
Paul Petard (botanist), 1912, /wiki/Paul_Petard_(botanist)
David Andrew Phoenix, 1966, /wiki/David_Andrew_Phoenix
Frederick Octavius Pickard-Cambridge, 1860, /wiki/Frederick_Octavius_Pickard-Cambridge
C%C3%A1ndido Bol%C3%ADvar Pieltain, 1897, /wiki/C%C3%A1ndido_Bol%C3%ADvar_Pieltain
Henry Augustus Pilsbry, 1862, /wiki/Henry_Augustus_Pilsbry
Gregory Goodwin Pincus, 1903, /wiki/Gregory_Goodwin_Pincus
Ronald Plasterk, 1957, /wiki/Ronald_Plasterk
Reginald Innes Pocock, 1863, /wiki/Reginald_Innes_Pocock
Arthur William Baden Powell, 1901, /wiki/Arthur_William_Baden_Powell
Alice Pruvot-Fol, 1873, /wiki/Alice_Pruvot-Fol
Santiago Ram%C3%B3n y Cajal, 1852, /wiki/Santiago_Ram%C3%B3n_y_Cajal
Austin L. Rand, 1905, /wiki/Austin_L._Rand
Suresh Rattan, 1955, /wiki/Suresh_Rattan
Bernhard Rensch, 1900, /wiki/Bernhard_Rensch
Ralf Reski, 1958, /wiki/Ralf_Reski
Charles Wallace Richmond, 1868, /wiki/Charles_Wallace_Richmond
Henry Nicholas Ridley, 1855, /wiki/Henry_Nicholas_Ridley
Austin Roberts, 1883, /wiki/Austin_Roberts
Harold E. Robinson, 1932, /wiki/Harold_E._Robinson
Maur%C3%ADcio Rocha e Silva, 1910, /wiki/Maur%C3%ADcio_Rocha_e_Silva
Martin Rodbell, 1925, /wiki/Martin_Rodbell
Alfred Romer, 1894, /wiki/Alfred_Romer
Robert Rosen (theoretical biologist), 1934, /wiki/Robert_Rosen_(theoretical_biologist)
Harald Rosenthal, 1937, /wiki/Harald_Rosenthal
Miriam Louisa Rothschild, 1908, /wiki/Miriam_Louisa_Rothschild
Walter Rothschild, 2nd Baron Rothschild, 1868, /wiki/Walter_Rothschild,_2nd_Baron_Rothschild
Edward James Salisbury, 1886, /wiki/Edward_James_Salisbury
Jonas Salk, 1914, /wiki/Jonas_Salk
Robert Sapolsky, 1957, /wiki/Robert_Sapolsky
George Schaller, 1933, /wiki/George_Schaller
Friedrich Schlechter, 1872, /wiki/Friedrich_Schlechter
George Schoener, 1864, /wiki/George_Schoener
Charles Schuchert, 1858, /wiki/Charles_Schuchert
Charles Scott Sherrington, 1857, /wiki/Charles_Scott_Sherrington
George Gaylord Simpson, 1902, /wiki/George_Gaylord_Simpson
